Wall time,Step,Value
1697009367.2932215,0,-20.0
1697009442.7023835,6508,-21.0
1697010644.6790328,12596,-21.0
1697011768.4479957,15880,-21.0
1697013229.212195,20136,-20.0
1697014422.9813383,23616,-20.0
1697015706.0706623,27352,-20.0
1697016830.0057666,30628,-21.0
1697017956.1543539,33908,-21.0
1697019003.9726071,36960,-21.0
1697020052.7869856,40008,-21.0
1697021263.7842147,43536,-21.0
1697022512.649501,47172,-21.0
1697023886.1890395,51176,-21.0
1697025524.7207778,55956,-20.0
1697027687.9757962,62264,-19.0
1697030038.756379,69132,-18.0
1697032821.2326593,77276,-16.0
1697035294.14186,84520,-16.0
1697037867.762035,92060,-14.0
1697040954.4192443,101124,-11.0
1697044503.7331645,111556,-10.0
1697047389.073226,120060,-10.0
1697050208.7224488,128392,-12.0
1697052947.7364547,136496,-14.0
1697056082.3143466,145784,-11.0
1697060146.2642627,157840,-5.0
1697063215.917535,166960,-12.0
1697066181.3068242,175784,-12.0
1697069001.479998,184184,-13.0
1697072366.541871,194232,-9.0
1697076321.294871,206028,-5.0
1697080512.4100702,218528,-3.0
1697084508.7358813,230292,-2.0
1697088395.7138271,241728,-5.0
1697092347.0728097,253360,3.0
1697096070.1290154,264336,-7.0
1697099525.2313776,274544,-6.0
1697104020.92475,287836,4.0
1697107462.7500892,298008,11.0
1697109747.2021632,304776,20.0
1697111980.5582106,311388,21.0
1697114671.7008274,319360,15.0
1697117317.2499313,327192,16.0
1697119673.539851,334184,20.0
1697121994.3109639,341072,20.0
1697124388.4479513,348172,19.0
1697127025.5709748,355996,17.0
1697129969.4810169,364732,13.0
1697132284.3164642,371624,20.0
1697134782.5785298,379048,18.0
1697137162.0606859,386124,20.0
1697140489.238286,396020,16.0
1697142832.554952,403000,20.0
1697145141.5979118,409880,20.0
1697148624.5458214,420252,10.0
1697150845.3688211,426868,21.0
1697154460.9435484,437632,8.0
1697157202.8604116,445804,18.0
1697159674.3376043,453168,19.0
