Wall time,Step,Value
1697080954.4073305,0,-20.0
1697081233.7033515,10428,-19.0
1697082444.8260236,14040,-21.0
1697083468.4634798,17096,-21.0
1697084485.1168704,20128,-21.0
1697085510.8613002,23184,-21.0
1697086692.4448516,26708,-21.0
1697088153.1350093,31056,-19.0
1697089172.4261127,34096,-21.0
1697090192.499444,37132,-21.0
1697091212.9138126,40172,-21.0
1697092750.2056231,44756,-18.0
1697095407.3869867,52680,-13.0
1697097822.8896773,59876,-17.0
1697100072.971452,66576,-19.0
1697102835.7942953,74808,-13.0
1697105424.531831,82520,-12.0
1697108116.6210244,90540,-13.0
1697109633.6519084,95060,-19.0
1697112356.3072338,103172,-16.0
1697115921.9944386,113800,-8.0
1697120272.6202404,126760,-1.0
1697123152.0025172,135340,-12.0
1697127460.873684,148180,-2.0
1697131262.4531624,159516,-6.0
1697134755.9455938,169932,10.0
1697138068.5793219,179804,16.0
1697141767.5626009,190824,10.0
1697145709.0693495,202580,7.0
1697149099.466553,212688,13.0
1697152305.8574686,222252,16.0
1697156225.6127687,233944,9.0
1697159881.886843,244848,9.0
1697162824.184248,253628,16.0
1697166540.2298508,264740,11.0
1697170039.3204782,275200,11.0
1697173478.9448776,285488,11.0
1697176899.9161952,295716,12.0
1697180589.6166878,306712,11.0
1697184185.49006,317428,13.0
1697187408.42694,327036,13.0
1697190759.0482533,337020,13.0
1697194658.820661,348648,5.0
1697198222.8103333,359272,15.0
1697201226.561472,368224,17.0
1697204813.304381,378920,14.0
1697207810.8581977,387856,15.0
1697211601.6156967,399156,11.0
1697215713.7276635,411420,5.0
1697218863.69189,420812,16.0
1697222569.0766253,431856,8.0
1697226068.3221056,442288,13.0
1697229751.1104622,453268,9.0
