Wall time,Step,Value
1697176404.8255153,0,-20.0
1697176663.4042237,10428,-19.0
1697177901.9335964,14436,-19.0
1697179062.076624,18188,-19.0
1697179999.0620801,21220,-21.0
1697180943.2039075,24276,-21.0
1697181920.9367576,27440,-21.0
1697182863.0070531,30488,-21.0
1697183802.2664258,33528,-21.0
1697184740.6769505,36564,-21.0
1697185680.3325732,39604,-21.0
1697186699.8501291,42904,-21.0
1697187715.0469024,46184,-21.0
1697189285.9266047,51268,-20.0
1697191022.4819965,56892,-16.0
1697193639.3233817,65356,-12.0
1697196622.7524965,75008,-7.0
1697199990.1792574,85912,-6.0
1697203785.8337939,98192,-3.0
1697207003.6925855,108608,-7.0
1697210086.4012284,118584,-10.0
1697213757.782088,130464,6.0
1697217070.2654018,141184,-5.0
1697220801.3779976,153260,-3.0
1697224296.3700473,164572,5.0
1697227476.3608658,174864,11.0
1697230472.0521703,184556,12.0
1697233818.474384,195412,12.0
1697237137.7532227,206200,12.0
1697240283.8981628,216436,13.0
1697244129.4331858,228956,6.0
1697247752.991912,240748,9.0
1697250840.5760055,250792,15.0
1697254054.208978,261232,12.0
1697257142.7790322,271236,15.0
1697260141.1203814,280944,13.0
1697263235.9251325,290960,15.0
1697266013.2465305,299948,18.0
1697269047.872319,309768,15.0
1697272151.8587866,319812,13.0
1697274961.377985,328904,18.0
1697277761.4717202,337968,18.0
1697280740.1850386,347608,16.0
1697283477.7633116,356468,19.0
1697286359.787435,365796,19.0
1697289695.8664622,376592,12.0
1697292901.4691901,386964,13.0
1697295860.680683,396540,17.0
1697298933.3918557,406484,16.0
1697302068.1240635,416628,16.0
1697305098.8276238,426436,16.0
1697307972.8206272,435740,18.0
1697311131.73225,445964,16.0
1697314352.0744636,456384,12.0
