Wall time,Step,Value
1696606656.677606,0,-20.0
1696606733.7395754,6508,-21.0
1696609827.649926,12596,-21.0
1696610382.1517467,15792,-21.0
1696611061.8074222,19640,-20.0
1696611815.935343,23844,-20.0
1696612428.673507,27264,-20.0
1696613026.5934117,30592,-20.0
1696613563.1036148,33648,-21.0
1696614135.59635,36940,-21.0
1696614741.4889216,40412,-20.0
1696615666.5892746,45740,-19.0
1696617415.4857016,55816,-13.0
1696618992.1665416,64836,-13.0
1696621074.269056,76696,-7.0
1696622996.6405933,87744,-17.0
1696625426.8708296,101716,-1.0
1696627528.1691313,114108,-3.0
1696629847.9183939,127916,-1.0
1696632090.4371772,141244,-4.0
1696634115.4057949,153236,-1.0
1696635923.7810304,164088,-8.0
1696638115.4632444,177172,1.0
1696640480.2125711,191328,-3.0
1696643367.763951,206044,-4.0
1696645852.3739634,221136,-2.0
1696647701.7272787,232536,7.0
1696649777.9929698,245356,3.0
1696651181.983591,254044,15.0
1696653060.791339,265652,4.0
1696654369.2024634,273764,16.0
1696655672.6688461,281860,16.0
1696657470.4013677,293036,13.0
1696658627.1221447,300240,19.0
1696659891.775968,308148,19.0
1696660962.897589,314832,21.0
1696662103.8544796,321964,20.0
1696663284.0840201,329348,19.0
1696664385.123152,336212,21.0
1696665602.934238,343840,18.0
1696666919.672515,352060,17.0
1696668740.247942,363480,4.0
1696669870.64822,370556,20.0
1696671227.2763288,379064,16.0
1696672335.1274102,386012,20.0
1696673462.1210055,393116,20.0
1696674720.7066612,401036,18.0
1696675947.4678106,408784,19.0
1696677032.7742085,415640,21.0
1696678146.656818,422676,20.0
1696679230.0374055,429548,21.0
